MOLECULE_DESC,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score
ATENOLOL + HYDROCHLOROTHIAZIDE,2.5,2.0,7.7,3.8,9.7
ATORVASTATIN CALCIUM SALT + FOLIC ACID + MECOBALAMIN + PYRIDOXINE HYDROCHLORIDE,4.5,0.7,4.9,7.0,6.5
ATORVASTATIN CALCIUM SALT + EZETIMIBE,4.6,1.0,2.1,4.9,7.8
CHLORTALIDONE + S-METOPROLOL SUCCINATE,7.8,0.2,3.6,6.9,6.4
S-METOPROLOL SUCCINATE + TELMISARTAN,7.1,0.9,4.3,7.6,5.6
ENALAPRIL MALEATE,9.1,6.8,6.8,8.8,9.9
BENAZEPRIL HYDROCHLORIDE,5.8,0.7,6.1,4.4,6.5
ATENOLOL + NIFEDIPINE,3.0,3.2,4.2,3.1,9.4
CILNIDIPINE + METOPROLOL TARTRATE,7.7,8.4,9.9,4.0,5.4
AMLODIPINE + CHLORTALIDONE + TELMISARTAN,8.1,0.2,6.5,9.3,5.3
AMLODIPINE BESILATE + BISOPROLOL FUMARATE,6.5,8.1,3.1,9.1,4.2
AMILORIDE HYDROCHLORIDE + HYDROCHLOROTHIAZIDE,8.2,2.8,1.9,7.2,7.9
PHENOXYBENZAMINE HYDROCHLORIDE,6.0,1.2,2.4,7.2,6.2
LISINOPRIL,6.2,7.0,3.2,7.7,9.2
INDAPAMIDE + TELMISARTAN,5.4,6.3,2.4,4.2,6.8
AMLODIPINE + HYDROCHLOROTHIAZIDE + TELMISARTAN,2.2,8.8,2.7,9.4,9.8
VERAPAMIL HYDROCHLORIDE,2.9,7.4,3.6,5.9,5.1
NIFEDIPINE,2.3,8.0,2.6,5.7,9.2
CANDESARTAN CILEXETIL,7.1,2.8,9.1,6.6,8.7
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,4.5,1.8,1.7,3.3,8.6
NEBIVOLOL HYDROCHLORIDE + TELMISARTAN,6.1,7.5,5.7,4.2,9.1
HYDROCHLOROTHIAZIDE + RAMIPRIL,9.3,8.1,4.7,8.2,8.6
AMLODIPINE BESILATE + RAMIPRIL,4.0,9.9,9.8,3.6,7.8
ATENOLOL + NITRENDIPINE,5.3,4.1,2.0,7.2,4.8
ATORVASTATIN CALCIUM SALT + RAMIPRIL,8.0,3.7,4.6,4.7,4.2
CHLORTALIDONE + CILNIDIPINE + METOPROLOL SUCCINATE,3.8,7.8,9.7,5.7,9.5
AMLODIPINE + CHLORTALIDONE,2.6,3.4,8.8,5.0,7.7
CILNIDIPINE + METOPROLOL TARTRATE + TELMISARTAN,4.3,9.3,8.4,5.5,8.8
CILNIDIPINE + METOPROLOL SUCCINATE + TELMISARTAN,3.3,8.6,3.3,8.0,6.9
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,9.4,4.3,2.5,5.1,4.7
BENIDIPINE HYDROCHLORIDE,8.5,7.5,7.0,7.0,4.8
COLESTYRAMINE,7.1,7.5,9.4,6.3,8.1
COLECALCIFEROL + LEVOMEFOLIC ACID CALCIUM SALT + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,9.0,1.0,6.0,7.6,6.6
COLECALCIFEROL + LEVOMEFOLIC ACID + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,8.4,9.0,6.1,9.6,5.2
HYDROCHLOROTHIAZIDE + VALSARTAN,3.5,5.1,3.5,8.1,6.9
NICORANDIL,9.1,8.3,7.9,4.5,4.4
METOPROLOL TARTRATE + OLMESARTAN MEDOXOMIL,6.3,3.2,2.7,3.2,7.5
METOPROLOL SUCCINATE + OLMESARTAN MEDOXOMIL,8.5,9.0,3.9,4.8,5.6
CHLORTALIDONE + NEBIVOLOL HYDROCHLORIDE,9.2,3.9,4.8,7.2,8.8
BISOPROLOL FUMARATE + HYDROCHLOROTHIAZIDE,4.5,0.1,5.6,3.4,5.9
PERINDOPRIL ERBUMINE,2.9,9.1,3.2,6.5,6.7
INDAPAMIDE + PERINDOPRIL ERBUMINE,3.8,0.9,2.0,7.2,4.1
AMLODIPINE BESILATE + PERINDOPRIL ERBUMINE,5.4,3.2,6.5,5.3,4.4
FENOFIBRATE,8.5,9.5,3.6,8.4,6.4
GEMFIBROZIL,8.9,9.5,6.2,3.7,6.9
CHLORTALIDONE + LOSARTAN POTASSIUM SALT,2.1,5.7,2.4,3.5,7.6
EZETIMIBE + ROSUVASTATIN CALCIUM SALT,6.1,6.3,5.3,8.1,5.7
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,5.3,4.5,5.8,6.5,8.2
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE + TELMISARTAN,3.8,2.9,1.5,7.8,9.2
ATENOLOL + BENIDIPINE HYDROCHLORIDE,3.0,3.3,4.0,6.0,8.7
BENIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,4.7,6.7,2.2,4.7,4.2
BENIDIPINE HYDROCHLORIDE + METOPROLOL TARTRATE,9.5,7.5,1.6,8.7,6.9
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE,4.6,7.9,9.9,8.6,4.6
BENIDIPINE HYDROCHLORIDE + TELMISARTAN,6.2,7.9,3.9,7.9,5.5
ACETYLSALICYLIC ACID CALCIUM SALT + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,7.6,0.9,8.3,4.9,9.9
ALLIUM SATIVUM POWDER + CURCUMA LONGA POWDER + NEPETA HINDOSTANA EXTRACT,4.9,4.9,3.3,7.1,4.9
CHLORTALIDONE + METOPROLOL SUCCINATE + TELMISARTAN,9.8,0.6,7.1,5.5,7.0
CHLORTALIDONE SODIUM SALT + METOPROLOL SUCCINATE + TELMISARTAN,9.7,5.5,7.8,3.6,7.7
BISOPROLOL FUMARATE + TELMISARTAN,4.0,4.4,6.4,9.4,8.2
ACETYLSALICYLIC ACID + CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,6.0,8.9,5.2,4.0,7.4
ATORVASTATIN CALCIUM SALT + CHOLINE FENOFIBRATE,4.4,3.5,4.7,9.7,4.1
AZILSARTAN MEDOXOMIL,4.3,1.2,4.1,6.1,6.0
VALSARTAN,2.3,1.4,9.4,4.3,7.1
BENZTHIAZIDE + TRIAMTERENE,6.9,7.6,8.5,6.8,4.5
DIAZEPAM + PROPRANOLOL HYDROCHLORIDE,6.0,6.2,9.7,9.1,6.1
DOXAZOSIN MESILATE,2.4,1.0,2.1,8.1,4.2
HYDROCHLOROTHIAZIDE + METOPROLOL SUCCINATE,4.2,0.8,7.6,8.6,4.5
ENALAPRIL MALEATE + HYDROCHLOROTHIAZIDE,9.3,7.0,9.4,7.6,6.4
AMLODIPINE + OLMESARTAN MEDOXOMIL,3.9,0.7,2.6,7.8,4.8
CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,3.2,8.2,1.6,8.9,7.4
LEVAMLODIPINE BESILATE + S-METOPROLOL TARTRATE,5.9,7.1,7.7,4.7,8.1
EZETIMIBE,9.9,0.8,6.2,6.4,8.8
FELODIPINE,3.9,0.8,8.6,4.5,5.2
ATORVASTATIN CALCIUM SALT + EZETIMIBE + FENOFIBRATE,7.4,9.9,2.3,9.9,5.0
PHENYLEPHRINE HYDROCHLORIDE,8.1,3.7,8.2,9.6,4.6
HYDRALAZINE HYDROCHLORIDE + ISOSORBIDE DINITRATE,3.9,3.7,2.8,3.3,7.8
ALLIUM SATIVUM OIL,7.8,8.1,2.5,7.9,8.2
ALLIUM SATIVUM,4.9,9.5,2.5,9.5,4.2
TRADITIONAL INDIAN AYURVEDIC MEDICINE,7.1,9.9,8.3,4.3,9.6
GARCINIA CAMBOGIA,7.1,7.5,7.0,7.0,4.3
COMMIPHORA WIGHTII + GARCINIA INDICA + TERMINALIA CHEBULA,6.3,3.8,5.7,9.4,7.2
ALLIUM SATIVUM + CINNAMOMUM ZEYLANICUM + COMMIPHORA WIGHTII + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA,2.7,0.8,4.2,3.2,8.3
ALLIUM SATIVUM + ECLIPTA PROSTRATA + TERMINALIA ARJUNA,8.7,7.8,8.9,7.9,9.2
SAROGLITAZAR,4.6,5.6,4.5,5.1,8.3
AMILORIDE HYDROCHLORIDE + TORASEMIDE,3.5,4.2,8.3,9.5,8.8
AMILORIDE HYDROCHLORIDE + ATENOLOL + HYDROCHLOROTHIAZIDE,2.3,9.1,5.0,9.8,6.0
AZILSARTAN MEDOXOMIL + CHLORTALIDONE,6.7,1.1,4.4,9.6,8.9
MOXONIDINE,7.4,4.9,5.2,6.3,4.5
EFONIDIPINE HYDROCHLORIDE,2.1,0.1,3.7,9.0,9.4
TERAZOSIN HYDROCHLORIDE,6.1,4.7,7.7,8.9,7.3
AZILSARTAN MEDOXOMIL POTASSIUM SALT + CHLORTALIDONE,3.8,0.6,5.5,5.2,8.9
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,7.2,1.2,3.1,8.8,6.7
HYDROCHLOROTHIAZIDE + IRBESARTAN,3.4,1.2,9.1,3.3,7.9
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + RAMIPRIL,7.5,6.5,4.5,7.2,7.2
ISOSORBIDE DINITRATE,5.1,7.5,5.9,4.6,8.4
ASCORBIC ACID + BETA VULGARIS + CITRULLINE + CRATAEGUS LAEVIGATA + FOLIC ACID + MECOBALAMIN + SODIUM NITRITE + UBIQUINOL,9.5,5.8,9.2,3.8,4.5
FLUVASTATIN SODIUM SALT,3.1,9.6,6.6,3.5,4.4
ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,4.7,3.7,2.1,7.9,5.5
HYDROCHLOROTHIAZIDE + LISINOPRIL,2.9,2.9,9.5,5.4,5.0
COMMIPHORA MOLMOL + INULA RACEMOSA + TERMINALIA ARJUNA,9.4,8.7,6.6,8.1,9.2
LEVAMLODIPINE BESILATE + LISINOPRIL,9.0,2.2,4.0,3.5,5.3
LOSARTAN POTASSIUM SALT + RAMIPRIL,4.1,9.6,2.3,5.2,9.9
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT + RAMIPRIL,7.3,0.1,8.1,6.8,6.0
LERCANIDIPINE HYDROCHLORIDE,8.5,9.7,6.6,8.5,5.1
ATENOLOL + LERCANIDIPINE HYDROCHLORIDE,6.4,0.4,5.8,5.2,8.7
ATENOLOL + LOSARTAN,6.2,8.9,9.0,7.4,8.0
ATENOLOL + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,3.9,5.3,8.1,9.2,7.0
AMLODIPINE + LOSARTAN POTASSIUM SALT,2.7,9.9,2.4,7.3,7.3
METOPROLOL TARTRATE + RAMIPRIL,9.2,0.7,3.8,4.6,8.3
ATORVASTATIN CALCIUM SALT + RAMIPRIL + S-METOPROLOL TARTRATE,9.2,5.5,3.2,3.2,5.4
HYDROCHLOROTHIAZIDE + S-METOPROLOL SUCCINATE,7.1,9.7,7.7,9.1,10.0
LEVAMLODIPINE BESILATE + S-METOPROLOL SUCCINATE,4.7,5.2,1.3,3.1,9.8
MILRINONE LACTATE,4.8,6.3,6.1,9.1,7.9
ATORVASTATIN CALCIUM SALT + LEVAMLODIPINE BESILATE,7.8,7.0,7.9,6.7,5.2
HYDROCHLOROTHIAZIDE + MOXONIDINE,9.2,4.5,8.9,9.6,8.1
ACETYLSALICYLIC ACID + ISOSORBIDE MONONITRATE,9.1,6.3,4.1,8.6,4.4
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,8.2,5.8,8.4,10.0,4.2
LEVAMLODIPINE BESILATE + NEBIVOLOL HYDROCHLORIDE,7.1,9.0,2.0,5.5,5.5
AMLODIPINE MALEATE + NEBIVOLOL HYDROCHLORIDE,2.7,0.5,8.6,8.4,6.8
NEBIVOLOL HYDROCHLORIDE + VALSARTAN,3.3,2.8,2.1,5.8,9.2
INDAPAMIDE + NEBIVOLOL HYDROCHLORIDE,9.2,9.5,4.6,6.4,8.4
NIMODIPINE,6.9,8.9,8.2,7.4,8.5
NITRENDIPINE,2.1,4.6,2.3,9.1,6.6
NITROPRUSSIDE SODIUM SALT,2.8,6.2,3.1,9.9,6.1
ATORVASTATIN CALCIUM SALT + OLMESARTAN MEDOXOMIL,7.3,2.8,7.5,8.4,6.2
ACETYLSALICYLIC ACID CALCIUM SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,2.0,1.9,7.5,5.9,9.9
DOCONEXENT + ICOSAPENT + PHYTOSTEROLS (UNSPECIFIED),3.3,4.6,6.8,5.9,4.2
CHLORTALIDONE SODIUM SALT + TELMISARTAN,6.4,3.5,7.2,8.2,9.2
PITAVASTATIN CALCIUM SALT,7.5,5.8,5.9,4.7,7.5
ACETYLSALICYLIC ACID + ATENOLOL + HYDROCHLOROTHIAZIDE + RAMIPRIL + SIMVASTATIN,7.2,0.8,3.3,3.8,6.6
COMMIPHORA MOLMOL + HIPPOPHAE RHAMNOIDES + INULA RACEMOSA + TERMINALIA ARJUNA,3.8,9.7,4.1,5.5,8.4
ACETYLSALICYLIC ACID + CLOPIDOGREL BESILATE + ROSUVASTATIN CALCIUM SALT,7.7,9.9,2.6,5.0,6.9
AMLODIPINE MALEATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,3.9,7.0,9.2,5.1,9.2
AMLODIPINE BESILATE + VALSARTAN,4.6,5.4,6.3,4.6,9.4
FIMASARTAN,8.0,3.1,4.6,3.3,6.5
AMLODIPINE BESILATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,7.2,8.1,5.2,3.1,5.7
HYDROCHLOROTHIAZIDE + QUINAPRIL HYDROCHLORIDE,8.8,6.8,9.5,9.9,7.6
AMLODIPINE + METOPROLOL TARTRATE,7.3,1.6,2.4,6.0,9.5
AMLODIPINE + LISINOPRIL,6.5,9.1,6.3,5.7,5.3
COMMIPHORA WIGHTII,2.7,8.2,5.6,7.8,7.7
SIMVASTATIN,4.9,9.5,6.5,4.5,7.8
AMLODIPINE BESILATE + ATORVASTATIN CALCIUM SALT,4.1,7.3,1.2,9.6,8.4
ISOSORBIDE MONONITRATE + METOPROLOL SUCCINATE,4.0,6.1,8.8,8.5,4.8
ATENOLOL + ATORVASTATIN CALCIUM SALT + LOSARTAN POTASSIUM SALT + SALICYLIC ACID,9.8,4.2,9.4,3.6,8.3
AMLODIPINE BESILATE + INDAPAMIDE + PERINDOPRIL ERBUMINE,5.1,9.3,6.1,5.9,9.5
ALLIUM SATIVUM EXTRACT + LEVOCARNITINE HYDROCHLORIDE + LINUM USITATISSIMUM + MULTIVITAMINS AND MINERALS + UBIDECARENONE,9.1,8.7,7.3,9.2,5.1
RAMIPRIL + TELMISARTAN,7.0,0.5,9.3,9.6,5.4
ROSUVASTATIN CALCIUM SALT + TELMISARTAN,8.4,0.3,7.4,6.3,9.8
HYDROCHLOROTHIAZIDE + METOPROLOL TARTRATE,6.0,3.8,2.4,7.3,5.1
ATORVASTATIN CALCIUM SALT + NICOTINIC ACID,6.6,8.1,6.2,4.2,9.1
AMLODIPINE BESILATE + LOSARTAN,5.9,9.9,6.5,9.9,7.0
CHLORTALIDONE + METOPROLOL SUCCINATE,3.6,1.5,4.8,4.6,5.5
AZELNIDIPINE,7.8,5.9,7.6,9.6,9.2
HYDROCHLOROTHIAZIDE + LOSARTAN,4.2,3.8,9.4,7.5,6.7
EZETIMIBE + SIMVASTATIN,2.2,9.7,9.3,7.3,7.1
AZILSARTAN MEDOXOMIL + CILNIDIPINE,7.2,8.4,5.1,6.6,6.2
EFONIDIPINE HYDROCHLORIDE + TELMISARTAN,3.4,8.4,2.0,4.6,7.6
EVOLOCUMAB RECOMBINANT,9.5,4.7,9.9,4.2,5.0
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,9.6,4.1,8.6,4.5,6.3
AZELNIDIPINE + TELMISARTAN,9.3,2.7,2.1,4.3,9.8
AMLODIPINE + HYDROCHLOROTHIAZIDE + VALSARTAN,5.0,0.6,9.3,8.5,5.5
AMLODIPINE,2.1,8.6,8.8,5.5,7.9
INDAPAMIDE + OLMESARTAN MEDOXOMIL,9.4,8.1,5.7,3.4,6.0
CHLORTALIDONE + RAMIPRIL,5.4,10.0,6.3,9.8,8.6
AMLODIPINE + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,9.7,10.0,4.6,9.2,4.8
FENOFIBRIC ACID,9.7,5.6,1.5,9.5,9.8
AZELNIDIPINE + OLMESARTAN MEDOXOMIL,8.8,7.7,4.0,10.0,6.7
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL + CYANOCOBALAMIN + FOLIC ACID + PYRIDOXAL 5-PHOSPHATE,4.4,9.4,8.2,4.2,5.4
CARVEDILOL + IVABRADINE HYDROCHLORIDE,5.1,8.5,1.0,5.8,4.4
AMLODIPINE + CHLORTALIDONE + LOSARTAN POTASSIUM SALT,8.8,2.5,4.0,8.3,5.0
AMLODIPINE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,4.5,4.5,4.6,7.9,7.1
ALLIUM SATIVUM + CAMELLIA SINENSIS + COMMIPHORA WIGHTII EXTRACT + TERMINALIA ARJUNA + ZINGIBER OFFICINALE,3.4,1.3,5.8,4.1,6.0
AMLODIPINE MALEATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,6.5,9.5,9.3,8.7,9.0
COMMIPHORA WIGHTII + GARCINIA CAMBOGIA,9.5,6.1,4.1,4.6,6.6
ACETYLSALICYLIC ACID LYSIN SALT + ROSUVASTATIN CALCIUM SALT,7.6,2.3,4.1,4.6,5.5
ATORVASTATIN CALCIUM SALT + FENOFIBRIC ACID,6.6,6.7,7.6,6.8,7.7
CHLORTALIDONE SODIUM SALT + CILNIDIPINE + TELMISARTAN,2.8,6.2,5.1,7.2,8.2
AZELNIDIPINE + CHLORTALIDONE,6.9,3.6,3.0,7.1,5.0
CARVEDILOL + IVABRADINE HYDROBROMIDE,9.9,1.1,5.1,3.6,5.0
CHLORTALIDONE + METOPROLOL TARTRATE + TELMISARTAN,3.1,6.7,2.3,9.1,4.2
EFONIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,6.1,5.2,2.6,4.9,8.4
CHLORTALIDONE SODIUM SALT + METOPROLOL TARTRATE + TELMISARTAN,9.0,7.7,5.5,3.9,8.0
BEMPEDOIC ACID,7.9,5.2,4.8,9.2,6.8
METOPROLOL FUMARATE + TELMISARTAN,7.6,8.5,9.2,9.7,9.1
CISSUS QUADRANGULARIS + OCIMUM GRATISSIMUM + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA EXTRACT,7.6,5.5,4.3,9.0,8.8
CHLORTALIDONE + EFONIDIPINE HYDROCHLORIDE,4.9,5.6,6.2,8.7,7.5
BEMPEDOIC ACID + ROSUVASTATIN CALCIUM SALT,4.3,8.8,6.7,7.6,9.2
FUROSEMIDE + POTASSIUM CHLORIDE,8.5,4.0,1.1,6.9,5.2
BEMPEDOIC ACID + EZETIMIBE,8.5,1.3,7.0,3.6,4.7
AMLODIPINE BESILATE + CHLORTALIDONE,8.9,0.3,2.6,5.9,5.6
ATORVASTATIN CALCIUM SALT + BEMPEDOIC ACID,9.3,7.6,9.6,5.6,4.3
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT + SALICYLIC ACID,6.1,6.2,2.3,4.8,7.2
AMLODIPINE BESILATE + METOPROLOL TARTRATE + TELMISARTAN,6.0,7.0,4.7,8.1,9.6
