MOLECULE_DESC,MAT FEB'24,MAT FEB'26,Cipla Sales,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score,External Score,Market Score,CAGR,Growth Score,Num Competitors,Competition Score,Future Score,Cipla Share,Right to Win Score,Confidence Score,Strategic Fit Score,Risk Score,Business Impact Score,Opportunity Score,Rank
HYDROCHLOROTHIAZIDE + QUINAPRIL HYDROCHLORIDE,0.0,0.0,0.0,8.9,6.8,9.5,9.9,7.6,8.5,0.0,0.0,1.954635005990765,1,10.0,8.5,0.0,0.0,50.0,0.0,7.5,0.0,35.9,22
COLESTYRAMINE,5.2,8.7,0.0,7.2,7.5,9.4,6.3,8.1,7.7,0.048260941920452646,0.2934747477538644,2.5282710213247777,1,10.0,7.7,0.0,0.0,86.5,0.0,11.5,0.1,35.6,23
CILNIDIPINE,715.6,975.6,0.2,3.5,0.5,3.2,5.6,8.5,4.3,5.411882176734898,0.16761786132922163,2.2822667453741676,71,5.833333333333333,4.3,0.00020500205002050022,0.0038772126851703307,92.9,2.2,49.3,12.4,35.5,24
BEMPEDOIC ACID + ROSUVASTATIN CALCIUM SALT,7.3,18.400000000000002,0.0,4.3,8.8,6.7,7.6,9.2,7.3,0.10206911854440562,0.5876233637753885,3.103224203164185,8,9.583333333333334,7.3,0.0,0.0,87.5,0.0,15.6,0.3,35.4,25
HYDROCHLOROTHIAZIDE + MOXONIDINE,0.0,0.0,0.0,9.3,4.5,8.9,9.6,8.1,8.1,0.0,0.0,1.954635005990765,1,10.0,8.1,0.0,0.0,50.0,0.0,9.5,0.0,35.1,26
AMLODIPINE BESILATE,443.6,462.0,24.7,9.7,4.7,8.1,3.3,6.1,6.4,2.5628224330171405,0.020528691286287648,1.9947611046061202,58,6.607142857142857,6.4,0.05346320346320346,1.0111518915866744,90.5,1.6,35.0,5.1,35.1,27
NIMODIPINE,13.2,14.9,0.0,7.0,8.9,8.2,7.4,8.5,8.0,0.08265379708215455,0.06244429443989152,2.0766908098273715,4,9.821428571428571,8.0,0.0,0.0,86.1,0.0,10.9,0.2,35.1,28
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,12.9,17.6,1.6,5.4,4.5,5.8,6.5,8.2,6.1,0.09763133078160538,0.1680501210441776,2.2831116553446997,6,9.702380952380953,6.1,0.09090909090909091,1.7193675889328066,94.4,1.1,21.0,0.2,35.0,29
EZETIMIBE + ROSUVASTATIN CALCIUM SALT,49.9,183.1,1.0,6.2,6.3,5.3,8.1,5.7,6.3,1.0156986742109058,0.9155517944850016,3.7442045932888117,33,8.095238095238095,6.3,0.005461496450027308,0.10329351981573387,88.7,0.5,28.0,3.8,35.0,30
BENIDIPINE HYDROCHLORIDE + METOPROLOL TARTRATE,0.4,1.0,0.0,9.6,7.5,1.6,8.7,6.9,6.9,0.005547234703500306,0.5811388300841898,3.090549306613841,2,9.94047619047619,6.9,0.0,0.0,94.4,0.0,15.8,0.0,34.9,31
CHLORTALIDONE + RAMIPRIL,0.0,0.0,0.0,5.5,10.0,6.3,9.8,8.6,8.0,0.0,0.0,1.954635005990765,1,10.0,8.0,0.0,0.0,50.0,0.0,10.0,0.0,34.9,32
AZELNIDIPINE,26.0,28.4,0.0,7.9,5.9,7.6,9.6,9.2,8.0,0.15754146557940862,0.045135250724848586,2.042857947061724,9,9.523809523809524,8.0,0.0,0.0,92.2,0.1,12.4,0.3,34.8,33
ENALAPRIL MALEATE,52.800000000000004,42.6,0.30000000000000004,9.2,6.8,6.8,8.8,9.9,8.3,0.236312198369113,-0.10176941611956802,1.7557129427042164,14,9.226190476190476,8.3,0.007042253521126762,0.13319044703000615,87.3,0.2,12.4,0.4,34.8,34
HYDROCHLOROTHIAZIDE + TELMISARTAN,881.5,1062.3,8.6,6.9,3.6,5.4,6.1,9.1,6.2,5.892827425528374,0.09777271544262645,2.1457449782256965,135,2.0238095238095237,6.2,0.008095641532523769,0.1531132202890365,85.5,2.4,58.9,12.6,34.8,35
CHLORTALIDONE SODIUM SALT + METOPROLOL TARTRATE + TELMISARTAN,2.7,6.4,0.0,9.1,7.7,5.5,3.9,8.0,6.8,0.035502302102401954,0.5396007178390021,3.009357458336624,1,10.0,6.8,0.0,0.0,86.0,0.0,16.0,0.1,34.7,36
CILNIDIPINE + METOPROLOL TARTRATE + TELMISARTAN,38.3,70.7,1.6,4.3,9.3,8.4,5.5,8.8,7.3,0.39218949353747157,0.3586585305406824,2.655681524982791,24,8.630952380952381,7.3,0.02263083451202263,0.42801795707521073,92.0,0.4,20.3,1.0,34.7,37
ATENOLOL + LOSARTAN,0.0,0.0,0.0,6.3,8.9,9.0,7.4,8.0,7.9,0.0,0.0,1.954635005990765,1,10.0,7.9,0.0,0.0,50.0,0.0,10.5,0.0,34.7,38
ALLIUM SATIVUM EXTRACT + LEVOCARNITINE HYDROCHLORIDE + LINUM USITATISSIMUM + MULTIVITAMINS AND MINERALS + UBIDECARENONE,0.0,0.0,0.0,9.2,8.7,7.3,9.2,5.1,7.9,0.0,0.0,1.954635005990765,1,10.0,7.9,0.0,0.0,50.0,0.0,10.5,0.0,34.7,39
AMLODIPINE BESILATE + LOSARTAN,2.6,2.4,0.0,6.0,9.9,6.5,9.9,7.0,7.9,0.013313363288400732,-0.03923107716947727,1.8779525692325796,1,10.0,7.9,0.0,0.0,86.4,0.0,10.5,0.0,34.6,40
BISOPROLOL FUMARATE + TELMISARTAN,37.300000000000004,138.3,0.6000000000000001,4.0,4.4,6.4,9.4,8.2,6.5,0.7671825594940922,0.92555830836867,3.7637636756137627,35,7.976190476190476,6.5,0.004338394793926247,0.08205224936338774,93.0,0.4,27.6,2.9,34.6,41
AMLODIPINE + HYDROCHLOROTHIAZIDE + TELMISARTAN,169.8,210.2,3.3,2.2,8.8,2.7,9.4,9.8,6.6,1.166028734675764,0.11262166656474237,2.17476925789123,17,9.047619047619047,6.6,0.01569933396764986,0.29692218590989955,85.5,0.6,21.8,2.5,34.6,42
ENALAPRIL MALEATE + HYDROCHLOROTHIAZIDE,5.8,5.5,0.0,9.4,7.0,9.4,7.6,6.4,8.0,0.030509790869251676,-0.026205431279797353,1.9034129526641876,5,9.761904761904763,8.0,0.0,0.0,85.3,0.0,11.2,0.1,34.5,43
METOPROLOL SUCCINATE + TELMISARTAN,367.5,463.7,7.5,8.4,4.4,5.3,4.6,8.9,6.3,2.5722527320130912,0.12328478467528137,2.1956117618231037,52,6.964285714285714,6.3,0.016174250593055856,0.3059043046947521,88.4,1.2,33.7,5.6,34.5,44
AMLODIPINE + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,0.0,0.0,0.0,9.8,10.0,4.6,9.2,4.8,7.7,0.0,0.0,1.954635005990765,1,10.0,7.7,0.0,0.0,50.0,0.0,11.5,0.0,34.3,45
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,5.6,7.3,0.0,5.6,9.5,7.2,7.7,7.2,7.4,0.04049481333555222,0.14174052593898434,2.231685999758646,2,9.94047619047619,7.4,0.0,0.0,91.5,0.0,13.3,0.1,34.3,46
LERCANIDIPINE HYDROCHLORIDE,3.4,3.1,0.0,8.6,9.7,6.6,8.5,5.1,7.7,0.017196427580850947,-0.04513628936776892,1.866410034751995,1,10.0,7.7,0.0,0.0,88.3,0.0,11.5,0.0,34.2,47
ATENOLOL + LEVAMLODIPINE BESILATE,45.7,43.0,0.0,8.6,9.4,3.9,7.4,8.8,7.6,0.2385310922505131,-0.029990187060396467,1.896015136526303,6,9.702380952380953,7.6,0.0,0.0,90.6,0.1,13.5,0.5,34.1,48
INDAPAMIDE + NEBIVOLOL HYDROCHLORIDE,2.3,2.2,0.0,9.3,9.5,4.6,6.4,8.4,7.6,0.012203916347700672,-0.021980706156348395,1.9116707482811695,1,10.0,7.6,0.0,0.0,89.6,0.0,12.0,0.0,34.1,49
FENOFIBRIC ACID,10.7,14.3,0.0,9.8,5.6,1.5,9.5,9.8,7.2,0.07932545626005436,0.15604870058784348,2.2596532587991356,2,9.94047619047619,7.2,0.0,0.0,92.8,0.0,14.3,0.2,34.0,50
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,352.5,432.40000000000003,2.4,3.1,5.2,6.8,8.0,4.8,5.6,2.398624285793532,0.10754984838907666,2.1648557045410537,32,8.154761904761905,5.6,0.0055504162812210905,0.10497526444918151,87.7,1.0,31.2,5.2,34.0,51
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL,9.3,11.2,0.0,8.3,5.8,8.4,10.0,4.2,7.3,0.062129028679203405,0.09740652233746872,2.1450292043634027,3,9.880952380952381,7.3,0.0,0.0,87.7,0.0,14.1,0.1,33.9,52
COLECALCIFEROL + LEVOMEFOLIC ACID CALCIUM SALT + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,0.3,0.9,0.0,9.1,1.0,6.0,7.6,6.6,6.1,0.004992511233150275,0.7320508075688772,3.3855271406287013,2,9.94047619047619,6.1,0.0,0.0,86.3,0.0,19.8,0.0,33.9,53
NIFEDIPINE,187.9,267.3,0.0,2.3,8.0,2.6,5.7,9.2,5.6,1.4827758362456316,0.19271337472682926,2.3313193143544413,10,9.464285714285714,5.6,0.0,0.0,92.9,0.6,24.7,3.5,33.8,54
AMLODIPINE BESILATE + INDAPAMIDE + PERINDOPRIL ERBUMINE,5.9,7.3,0.0,5.2,9.3,6.1,5.9,9.5,7.2,0.04049481333555222,0.11233454301896972,2.174208036157619,1,10.0,7.2,0.0,0.0,90.3,0.0,14.0,0.1,33.8,55
DIHYDRALAZINE SULFATE,11.9,18.8,0.0,6.4,5.0,5.0,9.1,8.6,6.8,0.10428801242580574,0.2569136536664358,2.456807426964168,2,9.94047619047619,6.8,0.0,0.0,89.3,0.0,16.3,0.3,33.7,56
CHLORTALIDONE SODIUM SALT + METOPROLOL SUCCINATE + TELMISARTAN,24.0,31.7,0.0,9.8,5.5,7.8,3.6,7.7,6.9,0.17584734010095968,0.14927513387062086,2.2464134081782383,1,10.0,6.9,0.0,0.0,94.1,0.1,15.5,0.4,33.7,57
CHLORTALIDONE + CILNIDIPINE + METOPROLOL SUCCINATE,2.6,2.7,0.0,3.8,7.8,9.7,5.7,9.5,7.3,0.014977533699450825,0.01904933073013626,1.991869494676585,1,10.0,7.3,0.0,0.0,87.0,0.0,13.5,0.0,33.6,58
CHLORTALIDONE + METOPROLOL TARTRATE,1.5,1.9,0.0,8.3,8.6,2.9,8.7,7.5,7.2,0.01053974593665058,0.12546286774227555,2.1998691192318063,3,9.880952380952381,7.2,0.0,0.0,90.8,0.0,14.6,0.0,33.6,59
AZELNIDIPINE + OLMESARTAN MEDOXOMIL,6.3,5.4,0.0,8.9,7.7,4.0,10.0,6.7,7.5,0.02995506739890165,-0.07417990022744847,1.8096403762652917,2,9.94047619047619,7.5,0.0,0.0,91.9,0.0,12.8,0.1,33.6,60
EZETIMIBE,28.599999999999998,52.9,0.0,10.0,0.8,6.2,6.4,8.8,6.4,0.29344871581516613,0.3600185107748901,2.6583397899560284,4,9.821428571428571,6.4,0.0,0.0,85.5,0.1,18.9,0.8,33.6,61
PITAVASTATIN CALCIUM SALT,9.8,21.0,0.0,7.6,5.8,5.9,4.7,7.5,6.3,0.1164919287735064,0.4638501094227998,2.8612926674012162,2,9.94047619047619,6.3,0.0,0.0,93.5,0.0,18.8,0.3,33.5,62
AMLODIPINE BESILATE + LISINOPRIL,15.7,11.4,1.6,3.2,5.9,8.8,3.5,5.6,5.4,0.06323847561990348,-0.1478763882619325,1.6655906409345098,14,9.226190476190476,5.4,0.14035087719298245,2.6544622425629294,90.4,1.6,26.9,0.1,33.4,63
ATORVASTATIN CALCIUM SALT + EZETIMIBE + FENOFIBRATE,4.4,5.8,0.0,7.5,9.9,2.3,9.9,5.0,6.9,0.03217396128030177,0.14812099457409889,2.2441574871074668,1,10.0,6.9,0.0,0.0,88.1,0.0,15.5,0.1,33.4,64
HYDRALAZINE HYDROCHLORIDE,0.0,0.4,0.0,8.5,3.5,6.4,7.8,9.6,7.2,0.002218893881400122,0.0,1.954635005990765,1,10.0,7.2,0.0,0.0,50.0,0.0,14.0,0.0,33.3,65
ATORVASTATIN CALCIUM SALT + LEVAMLODIPINE BESILATE,0.5,0.7,0.0,7.9,7.0,7.9,6.7,5.2,6.9,0.003883064292450213,0.18321595661992318,2.312755328456152,2,9.94047619047619,6.9,0.0,0.0,89.4,0.0,15.8,0.0,33.3,66
INDAPAMIDE + OLMESARTAN MEDOXOMIL,5.199999999999999,9.0,0.0,9.5,8.1,5.7,3.4,6.0,6.5,0.04992511233150274,0.315587028960544,2.571492460233666,2,9.94047619047619,6.5,0.0,0.0,87.2,0.0,17.8,0.1,33.2,67
EZETIMIBE + SIMVASTATIN,0.0,0.0,0.0,2.2,9.7,9.3,7.3,7.1,7.1,0.0,0.0,1.954635005990765,1,10.0,7.1,0.0,0.0,50.0,0.0,14.5,0.0,33.1,68
CILNIDIPINE + METOPROLOL TARTRATE,29.2,38.4,0.0,7.8,8.4,9.9,4.0,5.4,7.1,0.2130138126144117,0.14676435816199174,2.2415057580859603,14,9.226190476190476,7.1,0.0,0.0,87.4,0.1,18.4,0.5,33.1,69
ATORVASTATIN CALCIUM SALT + FENOFIBRIC ACID,0.0,0.0,0.0,6.7,6.7,7.6,6.8,7.7,7.1,0.0,0.0,1.954635005990765,1,10.0,7.1,0.0,0.0,50.0,0.0,14.5,0.0,33.1,70
CISSUS QUADRANGULARIS + OCIMUM GRATISSIMUM + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA EXTRACT,0.0,0.0,0.0,7.7,5.5,4.3,9.0,8.8,7.1,0.0,0.0,1.954635005990765,1,10.0,7.1,0.0,0.0,50.0,0.0,14.5,0.0,33.1,71
ATENOLOL + INDAPAMIDE,6.6,6.3,0.0,4.6,9.1,6.3,9.4,6.6,7.2,0.03494757863205192,-0.02299157908160554,1.9096948606748536,3,9.880952380952381,7.2,0.0,0.0,93.9,0.0,14.6,0.1,33.1,72
ATENOLOL + ATORVASTATIN CALCIUM SALT + LOSARTAN POTASSIUM SALT + SALICYLIC ACID,0.0,0.0,0.0,9.9,4.2,9.4,3.6,8.3,7.1,0.0,0.0,1.954635005990765,1,10.0,7.1,0.0,0.0,50.0,0.0,14.5,0.0,33.1,73
BEMPEDOIC ACID + EZETIMIBE,5.8,25.7,0.0,8.6,1.3,7.0,3.6,4.7,5.0,0.14256393187995783,1.105002252435522,4.114511090299881,7,9.642857142857142,5.0,0.0,0.0,90.1,0.1,26.8,0.6,33.0,74
HYDROCHLOROTHIAZIDE + RAMIPRIL,36.0,29.7,0.0,9.4,8.1,4.7,8.2,8.6,7.8,0.16475287069395905,-0.09170489377075253,1.7753854104057876,19,8.928571428571429,7.8,0.0,0.0,93.7,0.1,16.4,0.3,33.0,75
EVOLOCUMAB RECOMBINANT,9.7,12.1,0.0,9.6,4.7,9.9,4.2,5.0,6.7,0.06712153991235369,0.11688078164698101,2.183094273325517,1,10.0,6.7,0.0,0.0,89.1,0.0,16.5,0.1,32.9,76
PHENYLEPHRINE HYDROCHLORIDE,5.0,5.4,0.0,8.2,3.7,8.2,9.6,4.6,6.9,0.02995506739890165,0.039230484541326494,2.0313162843772212,2,9.94047619047619,6.9,0.0,0.0,93.0,0.0,15.8,0.1,32.8,77
GEMFIBROZIL,3.4,2.9,0.0,9.0,9.5,6.2,3.7,6.9,7.1,0.016086980640150884,-0.07645185481720107,1.80519953429214,2,9.94047619047619,7.1,0.0,0.0,93.9,0.0,14.8,0.0,32.8,78
CLONIDINE HYDROCHLORIDE,60.0,92.3,0.0,10.0,0.7,4.4,6.0,10.0,6.2,0.5120097631330781,0.24029566367593702,2.424325321999535,9,9.523809523809524,6.2,0.0,0.0,90.2,0.2,21.4,1.2,32.8,79
CILNIDIPINE + METOPROLOL SUCCINATE + TELMISARTAN,94.2,160.6,1.0,3.3,8.6,3.3,8.0,6.9,6.0,0.890885893382149,0.3057117703292027,2.5521899340196335,21,8.80952380952381,6.0,0.006226650062266501,0.1177649033515621,88.4,0.4,26.0,2.3,32.8,80
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,3.1,4.0,0.0,9.7,4.1,8.6,4.5,6.3,6.6,0.022188938814001222,0.13592366849412962,2.2203161665720748,1,10.0,6.6,0.0,0.0,88.0,0.0,17.0,0.0,32.7,81
TERAZOSIN HYDROCHLORIDE,4.8999999999999995,4.6,0.0,6.2,4.7,7.7,8.9,7.3,7.0,0.0255172796361014,-0.03109571669639022,1.8938542295996292,3,9.880952380952381,7.0,0.0,0.0,89.5,0.0,15.6,0.0,32.7,82
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE,14.2,13.3,0.0,8.3,6.4,6.3,8.8,4.5,6.9,0.07377822155655406,-0.03220884571625726,1.8916784686512127,2,9.94047619047619,6.9,0.0,0.0,86.1,0.0,15.8,0.1,32.7,83
BENZTHIAZIDE + TRIAMTERENE,0.0,0.0,0.0,7.0,7.6,8.5,6.8,4.5,6.9,0.0,0.0,1.954635005990765,1,10.0,6.9,0.0,0.0,50.0,0.0,15.5,0.0,32.7,84
CANDESARTAN CILEXETIL,0.0,0.0,0.0,7.2,2.8,9.1,6.6,8.7,6.9,0.0,0.0,1.954635005990765,1,10.0,6.9,0.0,0.0,50.0,0.0,15.5,0.0,32.7,85
AMLODIPINE MALEATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,0.8,0.8,0.0,3.9,7.0,9.2,5.1,9.2,6.9,0.004437787762800244,0.0,1.954635005990765,1,10.0,6.9,0.0,0.0,86.8,0.0,15.5,0.0,32.7,86
COMMIPHORA WIGHTII,1.0,1.5,0.0,2.7,8.2,5.6,7.8,7.7,6.4,0.008320852055250457,0.22474487139158894,2.393929199029657,1,10.0,6.4,0.0,0.0,85.0,0.0,18.0,0.0,32.6,87
DIAZEPAM + PROPRANOLOL HYDROCHLORIDE,1.5,1.1,0.0,6.1,6.2,9.7,9.1,6.1,7.4,0.006101958173850336,-0.1436511614223247,1.6738494172234588,7,9.642857142857142,7.4,0.0,0.0,89.2,0.0,14.8,0.0,32.6,88
AMLODIPINE BESILATE + RAMIPRIL,13.9,12.8,0.0,4.0,9.9,9.8,3.6,7.8,7.0,0.07100460420480391,-0.04038376975349256,1.8756994759567176,5,9.761904761904763,7.0,0.0,0.0,91.7,0.0,16.2,0.1,32.6,89
COMMIPHORA WIGHTII + GARCINIA CAMBOGIA,0.4,0.7,0.0,9.6,6.1,4.1,4.6,6.6,6.2,0.003883064292450213,0.32287565553229514,2.585739064876405,1,10.0,6.2,0.0,0.0,89.2,0.0,19.0,0.0,32.6,90
ENALAPRIL MALEATE + LOSARTAN POTASSIUM SALT,0.0,0.0,0.0,8.5,6.6,3.2,9.3,6.7,6.9,0.0,0.0,1.954635005990765,2,9.94047619047619,6.9,0.0,0.0,50.0,0.0,15.8,0.0,32.6,91
LEVAMLODIPINE BESILATE + S-METOPROLOL TARTRATE,2.5,2.8,0.0,6.0,7.1,7.7,4.7,8.1,6.7,0.015532257169800851,0.05830052442583611,2.0685912519011236,1,10.0,6.7,0.0,0.0,88.4,0.0,16.5,0.0,32.6,92
ROSUVASTATIN CALCIUM SALT + TELMISARTAN,14.7,19.3,0.0,8.5,0.3,7.4,6.3,9.8,6.5,0.10706162977755589,0.1458294681443777,2.2396783893307806,4,9.821428571428571,6.5,0.0,0.0,88.4,0.0,18.4,0.2,32.5,93
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE,1.9999999999999998,1.7,0.0,4.6,7.9,9.9,8.6,4.6,7.1,0.009430298995950518,-0.07804555427071125,1.8020844335512807,5,9.761904761904763,7.1,0.0,0.0,91.7,0.0,15.7,0.0,32.5,94
CHLORTALIDONE SODIUM SALT + TELMISARTAN,0.0,0.0,0.0,6.5,3.5,7.2,8.2,9.2,6.9,0.0,0.0,1.954635005990765,3,9.880952380952381,6.9,0.0,0.0,50.0,0.0,16.1,0.0,32.5,95
TELMISARTAN,1176.0,1436.3,10.799999999999999,2.5,0.4,2.3,6.2,8.8,4.0,7.9674932046374884,0.10514412517778249,2.1601533937375335,169,0.0,4.0,0.0075193204762236295,0.14221323509379474,88.7,3.3,80.0,17.2,32.5,96
NEBIVOLOL HYDROCHLORIDE + TELMISARTAN,32.2,46.3,0.0,6.2,7.5,5.7,4.2,9.1,6.5,0.25683696677206413,0.19911975997302456,2.3438414592185177,10,9.464285714285714,6.5,0.0,0.0,89.0,0.1,20.2,0.6,32.5,97
METOPROLOL SUCCINATE + RAMIPRIL,119.5,137.9,0.0,3.2,0.3,9.5,8.4,9.3,6.1,0.7649636656126921,0.0742322353185505,2.0997319317173475,10,9.464285714285714,6.1,0.0,0.0,92.7,0.3,22.2,1.6,32.5,98
CHLORTALIDONE + CILNIDIPINE + OLMESARTAN MEDOXOMIL,68.3,74.7,0.0,5.2,6.2,7.4,6.1,8.5,6.7,0.41437843235147276,0.04580315833030735,2.0441634626481213,12,9.345238095238095,6.7,0.0,0.0,89.7,0.2,19.8,0.8,32.5,99
ATORVASTATIN CALCIUM SALT + NICOTINIC ACID,0.8,0.7,0.0,6.7,8.1,6.2,4.2,9.1,6.9,0.003883064292450213,-0.06458565330651467,1.8283936271530683,1,10.0,6.9,0.0,0.0,85.9,0.0,15.5,0.0,32.5,100
